property_type,society,sector,price,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,super_built_up_area,built_up_area,carpet_area,others,store room,pooja room,servant room,study room,furnishing_type,luxury_score
flat,rof aindependentda,sector 95,0.26,6032.0,431.0,Super Built up area 431(40.04 sq.m.)Carpet area: 380.44 sq.ft. (35.34 sq.m.),1,1,1,8.0,North,New Property,431.0,,380.44,0,0,0,0,0,1,49
flat,parsvnath exotica,sector 53,5.0,17241.0,2900.0,Carpet area: 2900 (269.42 sq.m.),3,4,3,7.0,not available,Old Property,,,2900.0,0,0,0,1,0,0,24
house,vatika india next,sector 82,6.5,20062.0,3239.9339,Built Up area: 360 (301.01 sq.m.)Carpet area: 300 sq.yards (250.84 sq.m.),4,3,0,2.0,not available,Undefined,,360.0,300.0,0,0,0,0,0,0,0
house,independent,sohna road,1.2,22297.0,538.1949999999999,Plot area 50,4,4,3+,4.0,West,Old Property,,450.0,,0,0,0,0,0,1,8
house,independent,sector 55,2.8,18714.0,1496.1821,Built Up area: 1500 (139.35 sq.m.),4,4,0,2.0,not available,Undefined,,1500.0,,0,0,0,0,0,0,0
flat,bptp terra,sector 37d,1.5,8283.0,1811.0,Super Built up area 1811(168.25 sq.m.)Carpet area: 1570 sq.ft. (145.86 sq.m.),3,3,3,17.0,North-West,Relatively New,1811.0,,1570.0,1,0,0,0,0,1,49
flat,experion the heartsong,sector 108,0.9,7015.0,1283.0,Super Built up area 1283(119.19 sq.m.),2,3,3,7.0,East,Relatively New,1283.0,,,1,0,0,1,0,1,72
flat,mm merlin,sector 67,3.5,14583.0,2400.0,Super Built up area 2400(222.97 sq.m.)Carpet area: 2050 sq.ft. (190.45 sq.m.),3,4,3,17.0,South-East,Relatively New,2400.0,,2050.0,0,1,0,1,0,0,167
house,independent,sector 3,0.68,3876.0,1754.5157,Built Up area: 1755 (163.04 sq.m.),5,3,0,1.0,not available,Undefined,,1755.0,,0,0,0,0,0,1,0
house,independent,sector 25,13.5,19295.0,6996.535,Built Up area: 7000 (650.32 sq.m.),9,9,0,1.0,East,Relatively New,,7000.0,,0,0,0,0,0,1,0
flat,raheja atharva,sector 109,1.6,5319.0,3008.0,Built Up area: 3008 (279.45 sq.m.),4,1,0,0.0,not available,New Property,,3008.0,,0,0,0,0,0,0,0
flat,smart world orchard,sector 61,2.45,15796.0,1551.0,Super Built up area 1549(143.91 sq.m.)Carpet area: 939.37 sq.ft. (87.27 sq.m.),3,3,3,3.0,not available,New Property,1549.0,,939.37,0,0,0,1,1,1,119
flat,ats triumph,sector 104,1.83,7991.0,2290.0,Super Built up area 2290(212.75 sq.m.)Built Up area: 2000 sq.ft. (185.81 sq.m.)Carpet area: 1750 sq.ft. (162.58 sq.m.),3,4,3+,10.0,North,Relatively New,2290.0,2000.0,1750.0,0,0,0,1,0,1,165
flat,dlf new town heights,sector 90,1.54,6514.0,2364.0,Super Built up area 2364(219.62 sq.m.)Built Up area: 2200 sq.ft. (204.39 sq.m.)Carpet area: 1850 sq.ft. (171.87 sq.m.),4,4,3+,12.0,South-West,Moderately Old,2364.0,2200.0,1850.0,0,0,1,1,0,0,111
flat,dlf the icon,sector 43,6.0,26087.0,2300.0,Carpet area: 2300 (213.68 sq.m.),4,4,3+,18.0,North-East,Old Property,,,2300.0,0,0,0,1,0,0,150
flat,adani brahma samsara vilasa,sector 63,3.35,16470.0,2034.0,Super Built up area 2034(188.96 sq.m.),3,3,3+,3.0,not available,New Property,2034.0,,,0,0,0,0,0,0,16
flat,dlf the primus,sector 82a,2.95,11452.0,2576.0,Super Built up area 2576(239.32 sq.m.)Carpet area: 1700 sq.ft. (157.94 sq.m.),4,5,3+,10.0,North-East,Relatively New,2576.0,,1700.0,0,0,0,1,0,2,174
flat,sare homes,sector 92,0.56,4730.0,1184.0,Carpet area: 1184 (110 sq.m.),3,1,3,1.0,East,Moderately Old,,,1184.0,0,0,0,0,0,0,75
flat,sobha city,sector 108,3.35,13267.0,2525.0,Super Built up area 2072.9(192.58 sq.m.),3,4,2,19.0,not available,New Property,2072.9,,,0,0,0,0,0,0,102
flat,bestech park view aindependentda,sector 81,1.35,7542.0,1790.0,Carpet area: 1790 (166.3 sq.m.),3,3,3+,8.0,North,Old Property,,,1790.0,0,0,0,0,0,1,114
flat,mm merlin,sector 67,2.8,13672.0,2048.0,Super Built up area 2048(190.27 sq.m.),3,3,3,2.0,East,Relatively New,2048.0,,,0,1,0,0,0,2,174
house,independent,sector 38,3.5,20323.0,1722.224,Plot area 160,3,2,2,1.0,East,Moderately Old,,1440.0,,0,0,0,0,0,0,0
flat,emaar gurgaon greens,sector 102,1.42,8606.0,1650.0,Super Built up area 1650(153.29 sq.m.)Carpet area: 1022 sq.ft. (94.95 sq.m.),3,3,3,4.0,North,Relatively New,1650.0,,1022.0,1,0,0,0,0,0,49
flat,pivotal devaan,sector 84,0.35,7277.0,481.0,Super Built up area 583(54.16 sq.m.)Carpet area: 481 sq.ft. (44.69 sq.m.),2,2,1,10.0,West,Relatively New,583.0,,481.0,0,1,0,0,0,0,103
flat,gls arawali homes,sohna road,0.32,6723.0,476.0,Built Up area: 476 (44.22 sq.m.),2,1,0,0.0,not available,Undefined,,476.0,,0,0,0,0,0,1,0
flat,bestech park view sanskruti,sector 92,1.6,7547.0,2120.0,Super Built up area 2120(196.95 sq.m.)Carpet area: 1450 sq.ft. (134.71 sq.m.),3,3,3,10.0,East,Relatively New,2120.0,,1450.0,0,0,0,1,0,0,60
flat,godrej aria,sector 79,1.0,6653.0,1503.0,Super Built up area 1503(139.63 sq.m.)Built Up area: 1300 sq.ft. (120.77 sq.m.)Carpet area: 1200 sq.ft. (111.48 sq.m.),2,2,2,4.0,North-West,Relatively New,1503.0,1300.0,1200.0,0,0,0,0,1,1,49
house,independent,sector 43,7.85,29055.0,2701.7389,Plot area 300(250.84 sq.m.),9,9,3+,3.0,West,Relatively New,,2700.0,,1,0,1,1,1,2,49
house,unitech aspen greens,sector 50,6.8,31430.0,2163.5439,Plot area 240(200.67 sq.m.)Built Up area: 220 sq.yards (183.95 sq.m.)Carpet area: 200 sq.yards (167.23 sq.m.),4,5,3,3.0,West,Old Property,,220.0,200.0,0,0,0,1,1,0,111
